"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Slx1b",1.11092811029215e-12,0.324949433711152,0.417,0.356,2.15397851304545e-08,"L2/3-Calb1","Slx1b"
"Zfp8312",1.14869210665153e-12,0.379019854379343,0.451,0.358,2.22719912558665e-08,"L2/3-Calb1","Zfp831"
"Hebp2",1.16370124034627e-12,0.302917432705484,0.14,0.054,2.25630033490739e-08,"L2/3-Calb1","Hebp2"
"Pradc12",1.16569335142013e-12,0.375493316222247,0.479,0.4,2.2601628390685e-08,"L2/3-Calb1","Pradc1"
"Lxn",1.25728385597276e-12,0.360731161050533,0.263,0.174,2.43774766834559e-08,"L2/3-Calb1","Lxn"
"Zfp7042",1.29300609746884e-12,0.373356115994237,0.801,0.693,2.50700952238233e-08,"L2/3-Calb1","Zfp704"
"Snta11",1.29833121714816e-12,0.378274503619873,0.417,0.319,2.51733439692856e-08,"L2/3-Calb1","Snta1"
"Kif26b",1.31455654905774e-12,0.356790767846364,0.235,0.154,2.54879369296806e-08,"L2/3-Calb1","Kif26b"
"Slain2",1.34295693423327e-12,0.278714847915553,0.387,0.356,2.60385919978488e-08,"L2/3-Calb1","Slain2"
"Gm142951",1.3981493812988e-12,0.328771995868887,0.571,0.527,2.71087183540025e-08,"L2/3-Calb1","Gm14295"
"Numbl1",1.40628838761389e-12,0.311747867983715,0.824,0.789,2.72665255474458e-08,"L2/3-Calb1","Numbl"
"Gprin12",1.41790264246061e-12,0.374669135940975,0.751,0.659,2.74917143346688e-08,"L2/3-Calb1","Gprin1"
"Abhd17c1",1.45309838095429e-12,0.31663054903241,0.538,0.496,2.81741245083227e-08,"L2/3-Calb1","Abhd17c"
"2300009A05Rik",1.4612938105129e-12,0.310780019205474,0.672,0.629,2.83330256920347e-08,"L2/3-Calb1","2300009A05Rik"
"Pnmal12",1.49446197000752e-12,0.295394570675286,0.947,0.935,2.89761231364759e-08,"L2/3-Calb1","Pnmal1"
"P2ry141",1.53398332760512e-12,0.40700416938794,0.345,0.217,2.97424027389357e-08,"L2/3-Calb1","P2ry14"
"Cirbp2",1.55036794685312e-12,0.334046576874392,0.944,0.931,3.00600841215352e-08,"L2/3-Calb1","Cirbp"
"Smc51",1.64971500072839e-12,0.257104917830425,0.501,0.493,3.19863241491228e-08,"L2/3-Calb1","Smc5"
"Pdzd8",1.67939252386047e-12,0.328751536258765,0.728,0.676,3.25617416451307e-08,"L2/3-Calb1","Pdzd8"
"Mrpl331",1.77643812829459e-12,0.307844514173127,0.964,0.924,3.44433588695038e-08,"L2/3-Calb1","Mrpl33"
"Psme2",1.84431570872822e-12,0.361271543895374,0.471,0.388,3.57594372765314e-08,"L2/3-Calb1","Psme2"
"Phf3",1.85644608134011e-12,0.309028218857786,0.896,0.869,3.59946330711035e-08,"L2/3-Calb1","Phf3"
"Ttyh3",1.86715978532976e-12,0.285828934376095,0.773,0.773,3.62023610777587e-08,"L2/3-Calb1","Ttyh3"
"Qtrt2",1.8762885137823e-12,0.259175922590123,0.213,0.178,3.63793579937251e-08,"L2/3-Calb1","Qtrt2"
"Smim8",1.9030159580866e-12,0.269617426000717,0.616,0.604,3.68975764113412e-08,"L2/3-Calb1","Smim8"
"Chst152",1.9320770498925e-12,0.425102227241331,0.493,0.329,3.74610419203656e-08,"L2/3-Calb1","Chst15"
"Cdk9",1.97229488364812e-12,0.254875102727024,0.748,0.745,3.82408254990533e-08,"L2/3-Calb1","Cdk9"
"Usf1",2.06567489597028e-12,0.29488990129705,0.49,0.454,4.00513705579678e-08,"L2/3-Calb1","Usf1"
"Cc2d2a1",2.079751503239e-12,0.371252008133322,0.342,0.238,4.0324301896301e-08,"L2/3-Calb1","Cc2d2a"
"Pitpnb1",2.0913439354435e-12,0.301515244105399,0.728,0.697,4.05490675643141e-08,"L2/3-Calb1","Pitpnb"
"Afap1l11",2.09843000611078e-12,0.340107106634074,0.204,0.13,4.06864593884819e-08,"L2/3-Calb1","Afap1l1"
"Lrrc452",2.10446366311982e-12,0.337166456993417,0.583,0.52,4.08034459642301e-08,"L2/3-Calb1","Lrrc45"
"Lrriq1",2.11283370041535e-12,0.32722506810329,0.193,0.117,4.09657326173532e-08,"L2/3-Calb1","Lrriq1"
"Srrd1",2.20920542876708e-12,0.266769926096467,0.392,0.354,4.2834284058365e-08,"L2/3-Calb1","Srrd"
"Sh3bgrl31",2.21762062384178e-12,0.307097817824475,0.997,0.986,4.29974462756683e-08,"L2/3-Calb1","Sh3bgrl3"
"Fbxo211",2.35806391737844e-12,0.336804518362632,0.84,0.762,4.57205012940505e-08,"L2/3-Calb1","Fbxo21"
"Lsm3",2.45662532907109e-12,0.317796413839977,0.669,0.627,4.76315085053594e-08,"L2/3-Calb1","Lsm3"
"Spred11",2.59355291244823e-12,0.326693964738098,0.936,0.928,5.02863974194587e-08,"L2/3-Calb1","Spred1"
"Phf21a",2.68467945661692e-12,0.362451990781458,0.63,0.542,5.20532499843454e-08,"L2/3-Calb1","Phf21a"
"Dok51",2.72072241985435e-12,0.401506352263611,0.63,0.511,5.2752086998556e-08,"L2/3-Calb1","Dok5"
"Mkl12",2.78671142799986e-12,0.360915674382562,0.468,0.368,5.40315478774894e-08,"L2/3-Calb1","Mkl1"
