"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sorcs33",2.2835076817617e-39,0.432256054358358,0.589,0.382,4.20644950057323e-35,"DMS","Sorcs3"
"Gpr831",2.28656735332083e-39,0.449339806134405,0.31,0.127,4.21208572155231e-35,"DMS","Gpr83"
"Csrnp3",4.84873922012699e-39,0.266526464599841,0.943,0.907,8.93186251739593e-35,"DMS","Csrnp3"
"Rilpl11",8.71556949351005e-39,0.370008117516562,0.616,0.441,1.60549505639949e-34,"DMS","Rilpl1"
"Ypel2",1.03365336644738e-38,0.311327475945656,0.81,0.693,1.90409286633271e-34,"DMS","Ypel2"
"Rmst2",1.22875790681474e-38,0.399251614036592,0.513,0.288,2.26349494014342e-34,"DMS","Rmst"
"Erc2",1.66618424520088e-38,0.266183395616758,0.945,0.905,3.06927799808455e-34,"DMS","Erc2"
"Sccpdh2",2.60462750866172e-38,0.373289508613436,0.743,0.634,4.79798433370576e-34,"DMS","Sccpdh"
"Sytl2",6.95861960692738e-38,0.339848100342773,0.72,0.62,1.28184731779209e-33,"DMS","Sytl2"
"Plxna43",8.98713663408155e-38,0.343840447495968,0.823,0.713,1.65552043936416e-33,"DMS","Plxna4"
"A830036E02Rik1",9.04737709108721e-38,0.476501367487271,0.463,0.254,1.66661733394918e-33,"DMS","A830036E02Rik"
"Arhgef4",1.48428186160269e-37,0.273714417721043,0.915,0.854,2.73419561725831e-33,"DMS","Arhgef4"
"Sdc32",1.78675153381642e-37,0.29943861291574,0.81,0.709,3.29137500044323e-33,"DMS","Sdc3"
"Bmp11",2.02894786022279e-37,0.333204491495255,0.421,0.213,3.7375248533164e-33,"DMS","Bmp1"
"Prkca1",2.31046760073971e-37,0.335883687513282,0.796,0.677,4.25611236732263e-33,"DMS","Prkca"
"Pip4k2c",3.07247059554993e-37,0.28464186719694,0.868,0.802,5.65979808406252e-33,"DMS","Pip4k2c"
"Cspg5",3.11680826714524e-37,0.274224540109407,0.979,0.985,5.74147250890824e-33,"DMS","Cspg5"
"Ttc282",3.3288934250911e-37,0.390196429512048,0.401,0.203,6.13215457836031e-33,"DMS","Ttc28"
"Kcnh11",3.36015329664538e-37,0.31179070281008,0.812,0.667,6.18973838775045e-33,"DMS","Kcnh1"
"D16Ertd472e1",4.32411391019304e-37,0.421832185411616,0.296,0.124,7.96545023396659e-33,"DMS","D16Ertd472e"
"Arhgef25",5.92758364522631e-37,0.297366518318914,0.932,0.878,1.09192018328714e-32,"DMS","Arhgef25"
"Lamc2",6.54338972337406e-37,0.347653511446575,0.332,0.151,1.20535782094274e-32,"DMS","Lamc2"
"Prkaa21",1.151988428599e-36,0.2794901760476,0.865,0.776,2.12207788432222e-32,"DMS","Prkaa2"
"Mical3",1.39433584580625e-36,0.281821081058069,0.869,0.811,2.5685060615597e-32,"DMS","Mical3"
"Pid13",1.81796122558129e-36,0.344741556962577,0.762,0.584,3.34886637364329e-32,"DMS","Pid1"
"Galnt72",2.06956442715481e-36,0.364366578624999,0.433,0.239,3.81234463126188e-32,"DMS","Galnt7"
"Dgkb3",2.2700550979817e-36,0.362377209639408,0.8,0.68,4.18166849599209e-32,"DMS","Dgkb"
"Mgat32",2.98110077915049e-36,0.299834555011598,0.821,0.724,5.49148574527312e-32,"DMS","Mgat3"
"Man1a21",8.45710656398905e-36,0.25419025453567,0.921,0.913,1.55788360015242e-31,"DMS","Man1a2"
"Hivep3",8.48656500838133e-36,0.2717390811603,0.943,0.924,1.56331014019392e-31,"DMS","Hivep3"
"Ptprm",9.03953634341384e-36,0.322991388963943,0.207,0.065,1.66517298982026e-31,"DMS","Ptprm"
"Nell12",9.18766328881084e-36,0.328290186732059,0.442,0.233,1.69245945443185e-31,"DMS","Nell1"
"Myh9",1.14579295653957e-35,0.351431432146746,0.504,0.32,2.11066520524155e-31,"DMS","Myh9"
"2010111I01Rik",1.19841742606025e-35,0.349063573841757,0.709,0.583,2.20760474054559e-31,"DMS","2010111I01Rik"
"Zfp9413",1.79973043819239e-35,0.357069915101247,0.52,0.319,3.3152834401942e-31,"DMS","Zfp941"
"Herc61",2.22314672023734e-35,0.373747274844322,0.538,0.36,4.0952585733492e-31,"DMS","Herc6"
"Onecut2",4.27979219250325e-35,0.42928790944863,0.447,0.265,7.88380519781023e-31,"DMS","Onecut2"
"Lrrtm11",6.77541879657142e-35,0.333834781854211,0.608,0.404,1.24809989651642e-30,"DMS","Lrrtm1"
"Adcy7",7.97912876371806e-35,0.34020007559589,0.278,0.116,1.4698353095645e-30,"DMS","Adcy7"
"Kcnq1ot1",8.6637534659197e-35,0.266433412977992,0.994,0.996,1.59595002595707e-30,"DMS","Kcnq1ot1"
"Man2a1",8.7896064702827e-35,0.334725132947791,0.47,0.308,1.61913340789078e-30,"DMS","Man2a1"
"St6galnac54",1.10039759644504e-34,0.280980963424942,0.888,0.784,2.0270424124114e-30,"DMS","St6galnac5"
"Acsl51",1.81622995436074e-34,0.330086662246412,0.663,0.542,3.34567719892792e-30,"DMS","Acsl5"
"Prag11",3.82791385010178e-34,0.362930012178467,0.351,0.166,7.05140010327249e-30,"DMS","Prag1"
"AI5934421",4.75934101855117e-34,0.34977396950083,0.883,0.857,8.76718209027311e-30,"DMS","AI593442"
"Ptpn5",6.38480359118866e-34,0.26098526282673,0.941,0.871,1.17614466953286e-29,"DMS","Ptpn5"
"Msra",9.76861135275359e-34,0.305904907712122,0.732,0.612,1.79947589729074e-29,"DMS","Msra"
"Cav2",1.11315589796922e-33,0.300980350232753,0.807,0.699,2.05054447964909e-29,"DMS","Cav2"
"Sidt11",1.26576179305376e-33,0.293002771914665,0.774,0.672,2.33165979898433e-29,"DMS","Sidt1"
"Galnt142",1.58918594242078e-33,0.425775934591477,0.44,0.245,2.92743942453332e-29,"DMS","Galnt14"
"Osbp21",2.19358765980679e-33,0.292156004808144,0.755,0.652,4.04080782813008e-29,"DMS","Osbp2"
"Sgsm2",2.82363648157433e-33,0.288576050798319,0.702,0.571,5.20142076270807e-29,"DMS","Sgsm2"
"Klhdc8b2",3.10726862834407e-33,0.333307644583299,0.526,0.334,5.7238995402726e-29,"DMS","Klhdc8b"
"Kcnv11",3.14277388407368e-33,0.328577407777275,0.723,0.599,5.78930377185213e-29,"DMS","Kcnv1"
"Kmt5a2",3.37821510567382e-33,0.283457950010771,0.713,0.606,6.22301004616175e-29,"DMS","Kmt5a"
"Unc5d3",3.44612729325126e-33,0.320112404980357,0.438,0.237,6.34811108689815e-29,"DMS","Unc5d"
"Lcorl2",5.93875925435511e-33,0.394879565990935,0.643,0.504,1.09397884224476e-28,"DMS","Lcorl"
"Cpne81",6.99411071724746e-33,0.375451706078141,0.502,0.331,1.28838513522415e-28,"DMS","Cpne8"
"Zmat41",7.12091822566892e-33,0.325250735150688,0.596,0.53,1.31174434635047e-28,"DMS","Zmat4"
"Efnb22",7.87804887364361e-33,0.289404648790048,0.813,0.699,1.45121538301389e-28,"DMS","Efnb2"
"Plxnd12",9.1640815657807e-33,0.370798413162824,0.337,0.159,1.68811546523246e-28,"DMS","Plxnd1"
"Adrb12",1.11883397275582e-32,0.334476190780961,0.663,0.479,2.0610040612135e-28,"DMS","Adrb1"
"Cyp46a13",1.61714110702537e-32,0.257689052679268,0.924,0.854,2.97893563325144e-28,"DMS","Cyp46a1"
"Slc16a22",2.84443400022388e-32,0.285312276237016,0.635,0.427,5.2397318718124e-28,"DMS","Slc16a2"
"Dkk3",2.91966522019254e-32,0.262846472537709,0.977,0.986,5.37831530211669e-28,"DMS","Dkk3"
"Cdkn1a1",5.95796739228749e-32,0.366971191960034,0.613,0.419,1.09751717333328e-27,"DMS","Cdkn1a"
"Pdp12",6.26826537822076e-32,0.295310501219,0.795,0.697,1.15467716532205e-27,"DMS","Pdp1"
"Zdhhc22",8.99567424083799e-32,0.27249587901425,0.929,0.859,1.65709315190477e-27,"DMS","Zdhhc22"
"Ppp1r14c",1.29375253260952e-31,0.293340261058286,0.718,0.58,2.38322154032e-27,"DMS","Ppp1r14c"
"Gpr222",1.79745516266709e-31,0.271261685657063,0.916,0.842,3.31109215514904e-27,"DMS","Gpr22"
"Dach11",1.83189511423057e-31,0.32745511528383,0.283,0.122,3.37453398992414e-27,"DMS","Dach1"
"Fam3c",3.63547410019299e-31,0.383465058740572,0.685,0.732,6.69690683996551e-27,"DMS","Fam3c"
"Col25a11",7.14195925475402e-31,0.356071561260519,0.548,0.37,1.31562031431824e-26,"DMS","Col25a1"
"Cpne91",9.27955448172513e-31,0.366828267250169,0.333,0.161,1.70938673107859e-26,"DMS","Cpne9"
"Hrh11",9.48075884268521e-31,0.307839614663156,0.397,0.213,1.74645058641104e-26,"DMS","Hrh1"
"AI5044321",1.04636114221297e-30,0.281743798981552,0.823,0.732,1.92750186007052e-26,"DMS","AI504432"
"Hapln4",1.25132551672815e-30,0.312599131442698,0.576,0.456,2.30506673436492e-26,"DMS","Hapln4"
"Timp24",1.67850112138734e-30,0.252990146154989,0.917,0.884,3.09196691570762e-26,"DMS","Timp2"
