"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.6978,0.6033,0.6765,0.1756,0.2788,0.1205,0.1729,5
0.7071,0.6867,0.6765,0.217,0.3286,0.1895,0.2417,10
0.7072,0.71,0.6176,0.2211,0.3256,0.1904,0.2313,20
0.7198,0.6733,0.6176,0.1981,0.3,0.155,0.1977,50
0.688,0.6733,0.5588,0.1863,0.2794,0.1318,0.1652,100
0.6748,0.6533,0.6765,0.1983,0.3067,0.1593,0.2128,200
0.4846,0.35,0.7,0.1014,0.1772,0.0031,0.0072,2
0.577,0.6233,0.5333,0.1391,0.2207,0.0738,0.1028,5
0.6026,0.65,0.5,0.1429,0.2222,0.0789,0.1048,10
0.6744,0.69,0.5,0.1613,0.2439,0.1092,0.1369,20
0.7465,0.3667,0.9333,0.1296,0.2276,0.0631,0.1584,50
0.7296,0.6267,0.7,0.1694,0.2727,0.1331,0.194,100
0.6938,0.6667,0.6667,0.1818,0.2857,0.1525,0.2075,200
0.5553,0.19,0.9688,0.1136,0.2033,0.0152,0.0709,2
0.6878,0.2,0.9688,0.1148,0.2053,0.018,0.0792,5
0.6419,0.21,0.8438,0.1042,0.1856,-0.0053,-0.0197,10
0.6578,0.22,0.875,0.1085,0.1931,0.0041,0.0149,20
0.7227,0.24,0.9062,0.1142,0.2028,0.0165,0.0571,50
0.7513,0.39,0.9062,0.1388,0.2407,0.0683,0.1575,100
