"AUC","Accuracy","Recall","Prec.","F1","Kappa","MCC","num_vars"
0.6859,0.69,0.6809,0.2909,0.4076,0.241,0.281,200
0.6882,0.6833,0.6809,0.2857,0.4025,0.2333,0.274,300
0.6951,0.69,0.6596,0.287,0.4,0.2324,0.269,400
0.7006,0.6933,0.6596,0.2897,0.4026,0.2363,0.2726,500
0.631,0.46,0.8723,0.2081,0.3361,0.1112,0.1958,1000
0.5624,0.5833,0.5319,0.1953,0.2857,0.0733,0.0917,2000
0.5447,0.7433,0.2553,0.2222,0.2376,0.0842,0.0845,5000
0.4587,0.85,0,0,0,0,0,2
0.6981,0.77,0.5556,0.3378,0.4202,0.2872,0.301,5
0.7697,0.8067,0.5333,0.3934,0.4528,0.3387,0.3444,10
0.7164,0.7433,0.6667,0.3261,0.438,0.2962,0.328,20
0.736,0.7533,0.6667,0.3371,0.4478,0.3103,0.3403,50
0.7509,0.75,0.7778,0.35,0.4828,0.3478,0.3961,100
